season,id,name,description,home_team,away_team,1st_inning_score,2nd_inning_score,result
2017,1082624,Rising Pune Supergiant v Royal Challengers Bangalore,"34th match (D/N), Indian Premier League at Pune, Apr 29 2017",RPS,RCB,157/3,96/9,Supergiant won by 61 runs
2017,1082625,Gujarat Lions v Mumbai Indians,"35th match (N), Indian Premier League at Rajkot, Apr 29 2017",GL,MI,153/9,153,Match tied (Mumbai Indians won the one-over eliminator)
2017,1082626,Kings XI Punjab v Delhi Daredevils,"36th match (D/N), Indian Premier League at Mohali, Apr 30 2017",KXIP,DC,67,68/0,Kings XI won by 10 wickets (with 73 balls remaining)
2017,1082627,Sunrisers Hyderabad v Kolkata Knight Riders,"37th match (N), Indian Premier League at Hyderabad (Deccan), Apr 30 2017",SRH,KKR,209/3,161/7,Sunrisers won by 48 runs
2017,1082628,Mumbai Indians v Royal Challengers Bangalore,"38th match (D/N), Indian Premier League at Mumbai, May 1 2017",MI,RCB,162/8,165/5,Mum Indians won by 5 wickets (with 1 ball remaining)
2017,1082629,Rising Pune Supergiant v Gujarat Lions,"39th match (N), Indian Premier League at Pune, May 1 2017",RPS,GL,161,167/5,Supergiant won by 5 wickets (with 1 ball remaining)
2017,1082630,Delhi Daredevils v Sunrisers Hyderabad,"40th match (N), Indian Premier League at Delhi, May 2 2017",DC,SRH,185/3,189/4,Daredevils won by 6 wickets (with 5 balls remaining)
2017,1082631,Kolkata Knight Riders v Rising Pune Supergiant,"41st match (N), Indian Premier League at Kolkata, May 3 2017",KKR,RPS,155/8,158/6,Supergiant won by 4 wickets (with 4 balls remaining)
2017,1082632,Delhi Daredevils v Gujarat Lions,"42nd match (N), Indian Premier League at Delhi, May 4 2017",DC,GL,208/7,214/3,Daredevils won by 7 wickets (with 15 balls remaining)
2017,1082633,Royal Challengers Bangalore v Kings XI Punjab,"43rd match (N), Indian Premier League at Bengaluru, May 5 2017",RCB,KXIP,138/7,119,Kings XI won by 19 runs
2017,1082634,Sunrisers Hyderabad v Rising Pune Supergiant,"44th match (D/N), Indian Premier League at Hyderabad (Deccan), May 6 2017",SRH,RPS,148/8,136/9,Supergiant won by 12 runs
2017,1082635,Delhi Daredevils v Mumbai Indians,"45th match (N), Indian Premier League at Delhi, May 6 2017",DC,MI,212/3,66,Mum Indians won by 146 runs
2017,1082636,Royal Challengers Bangalore v Kolkata Knight Riders,"46th match (D/N), Indian Premier League at Bengaluru, May 7 2017",RCB,KKR,158/6,159/4,KKR won by 6 wickets (with 29 balls remaining)
2017,1082637,Kings XI Punjab v Gujarat Lions,"47th match (N), Indian Premier League at Mohali, May 7 2017",KXIP,GL,189/3,192/4,Guj Lions won by 6 wickets (with 2 balls remaining)
2017,1082638,Sunrisers Hyderabad v Mumbai Indians,"48th match (N), Indian Premier League at Hyderabad (Deccan), May 8 2017",SRH,MI,138/7,140/3,Sunrisers won by 7 wickets (with 10 balls remaining)
2017,1082639,Kings XI Punjab v Kolkata Knight Riders,"49th match (N), Indian Premier League at Mohali, May 9 2017",KXIP,KKR,167/6,153/6,Kings XI won by 14 runs
2017,1082640,Gujarat Lions v Delhi Daredevils,"50th match (N), Indian Premier League at Kanpur, May 10 2017",GL,DC,195/5,197/8,Daredevils won by 2 wickets (with 2 balls remaining)
2017,1082641,Mumbai Indians v Kings XI Punjab,"51st match (N), Indian Premier League at Mumbai, May 11 2017",MI,KXIP,230/3,223/6,Kings XI won by 7 runs
2017,1082642,Delhi Daredevils v Rising Pune Supergiant,"52nd match (N), Indian Premier League at Delhi, May 12 2017",DC,RPS,168/8,161/7,Daredevils won by 7 runs
2017,1082643,Gujarat Lions v Sunrisers Hyderabad,"53rd match (D/N), Indian Premier League at Kanpur, May 13 2017",GL,SRH,154,158/2,Sunrisers won by 8 wickets (with 11 balls remaining)
2017,1082644,Kolkata Knight Riders v Mumbai Indians,"54th match (N), Indian Premier League at Kolkata, May 13 2017",KKR,MI,173/5,164/8,Mum Indians won by 9 runs
2017,1082645,Rising Pune Supergiant v Kings XI Punjab,"55th match (D/N), Indian Premier League at Pune, May 14 2017",RPS,KXIP,73,78/1,Supergiant won by 9 wickets (with 48 balls remaining)
2017,1082646,Delhi Daredevils v Royal Challengers Bangalore,"56th match (N), Indian Premier League at Delhi, May 14 2017",DC,RCB,161/6,151,RCB won by 10 runs
2017,1082647,Mumbai Indians v Rising Pune Supergiant,"Qualifier 1 (N), Indian Premier League at Mumbai, May 16 2017",MI,RPS,162/4,142/9,Supergiant won by 20 runs
2017,1082648,Sunrisers Hyderabad v Kolkata Knight Riders,"Eliminator (N), Indian Premier League at Bengaluru, May 17 2017",SRH,KKR,128/7,48/3,KKR won by 7 wickets (with 4 balls remaining) (D/L method)
2017,1082649,Mumbai Indians v Kolkata Knight Riders,"Qualifier 2 (N), Indian Premier League at Bengaluru, May 19 2017",MI,KKR,107,111/4,Mum Indians won by 6 wickets (with 33 balls remaining)
